"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2000","2000",1.61,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2001","2001",1.63,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2002","2002",1.63,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2003","2003",1.63,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2004","2004",1.63,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2005","2005",1.63,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2006","2006",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2007","2007",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2008","2008",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2009","2009",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2010","2010",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2011","2011",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2012","2012",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2013","2013",1.54,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2004","2004",3.6,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2008","2008",3.6,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2010","2010",3.6,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2013","2013",3.6,,
"ALB","Albania","IND-INFR-AIR-PC","Airports per one million inhabitants","2004","2004",0.3,,
"ALB","Albania","IND-INFR-AIR-PC","Airports per one million inhabitants","2008","2008",0.3,,
"ALB","Albania","IND-INFR-AIR-PC","Airports per one million inhabitants","2010","2010",0.3,,
"ALB","Albania","IND-INFR-AIR-PC","Airports per one million inhabitants","2013","2013",0.3,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2000","2000",2.799,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2001","2001",2.4,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2002","2002",1.489,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2003","2003",1.219,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2004","2004",1.584,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2005","2005",1.076,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2006","2006",2.464,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2007","2007",3.247,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2008","2008",5.698,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2009","2009",5.627,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2010","2010",2.693,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2011","2011",2.277,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2012","2012",1.892,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2013","2013",2.441,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2014","2014",1.94,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2015","2015",1.759,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2016","2016",0.831,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2000","2000",0.052,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2001","2001",0.031,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2002","2002",0.119,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2003","2003",0.014,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2004","2004",0.035,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2005","2005",0.036,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2006","2006",0.017,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2007","2007",0.007,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2008","2008",0.016,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2009","2009",0.001,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2010","2010",0.003,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2011","2011",0.009,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2012","2012",0.005,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2013","2013",0.007,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2014","2014",0.007,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2015","2015",0.005,,
"ALB","Albania","IND-INFR-RLINV-GDP","Rail infrastructure investment per GDP","2016","2016",0,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2000","2000",2.747,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2001","2001",2.369,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2002","2002",1.37,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2003","2003",1.204,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2004","2004",1.548,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2005","2005",1.039,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2006","2006",2.445,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2007","2007",3.238,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2008","2008",5.68,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2009","2009",5.623,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2010","2010",2.687,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2011","2011",2.267,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2012","2012",1.886,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2013","2013",2.433,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2014","2014",1.933,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2015","2015",1.754,,
"ALB","Albania","IND-INFR-RDINV-GDP","Road infrastructure investment per GDP","2016","2016",0.831,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2000","2000",0.001,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2001","2001",0.001,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2002","2002",0.001,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2003","2003",0.001,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2004","2004",0.001,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2005","2005",0.001,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2006","2006",0.002,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2007","2007",0.002,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2008","2008",0.002,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2009","2009",0.003,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2010","2010",0.003,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2011","2011",0.001,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2012","2012",0.001,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2013","2013",0,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2014","2014",0,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2015","2015",0,,
"ALB","Albania","IND-INFR-IWINV-GDP","Inland waterways infrastructure investment per GDP","2016","2016",0,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2000","2000",33,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2001","2001",32,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2002","2002",22,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2003","2003",23,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2004","2004",38,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2005","2005",29,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2006","2006",74,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2007","2007",117,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2008","2008",249,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2009","2009",231,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2010","2010",110,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2011","2011",101,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2012","2012",80,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2013","2013",108,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2014","2014",89,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2015","2015",69,,
"ALB","Albania","IND-INFR-INV-PC","Total inland transport infrastructure investment in current USD per inhabitant","2016","2016",34,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2000","2000",1,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2001","2001",0,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2002","2002",2,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2003","2003",0,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2004","2004",1,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2005","2005",1,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2006","2006",1,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2007","2007",0,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2008","2008",1,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2009","2009",0,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2010","2010",0,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2011","2011",0,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2012","2012",0,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2013","2013",0,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2014","2014",0,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2015","2015",0,,
"ALB","Albania","IND-INFR-RLINV-PC","Rail infrastructure investment in current USD per inhabitant","2016","2016",0,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2000","2000",32,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2001","2001",31,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2002","2002",20,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2003","2003",23,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2004","2004",37,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2005","2005",28,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2006","2006",73,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2007","2007",117,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2008","2008",248,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2009","2009",231,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2010","2010",110,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2011","2011",101,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2012","2012",80,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2013","2013",107,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2014","2014",89,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2015","2015",69,,
"ALB","Albania","IND-INFR-RDINV-PC","Road infrastructure investment in current USD per inhabitant","2016","2016",34,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2000","2000",0,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2001","2001",0,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2002","2002",0,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2003","2003",0,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2004","2004",0,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2005","2005",0,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2006","2006",0.1,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2007","2007",0.1,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2008","2008",0.1,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2009","2009",0.1,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2010","2010",0.1,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2011","2011",0,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2012","2012",0,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2013","2013",0,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2014","2014",0,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2015","2015",0,,
"ALB","Albania","IND-INFR-IWINV-PC","Inland waterways infrastructure investment in current USD per inhabitant","2016","2016",0,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2000","2000",1.9,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2001","2001",1.3,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2002","2002",8,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2003","2003",1.1,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2004","2004",2.2,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2005","2005",3.3,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2006","2006",0.7,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2007","2007",0.2,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2008","2008",0.3,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2009","2009",0,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2010","2010",0.1,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2011","2011",0.4,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2012","2012",0.3,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2013","2013",0.3,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2014","2014",0.4,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2015","2015",0.3,,
"ALB","Albania","IND-INFR-RLINV-SHARE","Share of rail infrastructure investment in total inland transport infrastructure investment","2016","2016",0,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2000","2000",98.1,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2001","2001",98.7,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2002","2002",92,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2003","2003",98.8,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2004","2004",97.8,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2005","2005",96.6,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2006","2006",99.2,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2007","2007",99.7,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2008","2008",99.7,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2009","2009",99.9,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2010","2010",99.8,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2011","2011",99.6,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2012","2012",99.7,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2013","2013",99.7,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2014","2014",99.6,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2015","2015",99.7,,
"ALB","Albania","IND-INFR-RDINV-SHARE","Share of road infrastructure investment in total inland transport infrastructure investment","2016","2016",100,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2000","2000",0,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2001","2001",0,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2002","2002",0.1,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2003","2003",0.1,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2004","2004",0,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2005","2005",0.1,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2006","2006",0.1,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2007","2007",0.1,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2008","2008",0,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2009","2009",0.1,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2010","2010",0.1,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2011","2011",0,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2012","2012",0.1,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2013","2013",0,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2014","2014",0,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2015","2015",0,,
"ALB","Albania","IND-INFR-IWINV-SHARE","Share of inland waterways infrastructure investment in total inland transport infrastructure investment","2016","2016",0,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2000","2000",3.4,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2001","2001",5,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2002","2002",9.6,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2003","2003",8.7,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2004","2004",7,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2005","2005",9.4,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2006","2006",3.1,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2007","2007",2.3,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2008","2008",1.6,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2009","2009",1.8,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2010","2010",2.8,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2011","2011",3.5,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2012","2012",3.5,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2013","2013",3.6,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2014","2014",7.3,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2015","2015",4.5,,
"ALB","Albania","IND-INFR-RDMNT-SHARE","Share of road infrastructure maintenance in total road infrastructure spending","2016","2016",12.7,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2000","2000",2.96,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2001","2001",2.5,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2002","2002",2.5,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2003","2003",2.5,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2004","2004",2.5,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2005","2005",2.57,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2006","2006",2.97,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2008","2008",2.97,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2010","2010",2.9,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2011","2011",2.9,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2012","2012",2.9,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2013","2013",2.9,,
"ARM","Armenia","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2014","2014",2.9,,
"ARM","Armenia","IND-INFR-ERAIL-SHARE","Share of electrified rail lines in total rail network","2000","2000",92.5,,
"ARM","Armenia","IND-INFR-ERAIL-SHARE","Share of electrified rail lines in total rail network","2008","2008",96.3,,
"ARM","Armenia","IND-INFR-ERAIL-SHARE","Share of electrified rail lines in total rail network","2010","2010",87,,
"ARM","Armenia","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2004","2004",7,,
"ARM","Armenia","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2008","2008",7,,
